title,author,current_ml_estimate,ml_confidence,search_query,google_search_url,verified_lexile,lexile_source,collection_date,notes,status,lexile_prefix,lexile_numeric,book_type,predicted_lexile_age_model,age_model_confidence,prediction_method
Where The Wild Things Are,Maurice Sendak,1045.0,0.9,"""Where the Wild Things Are"" ""Maurice Sendak"" lexile level",https://www.google.com/search?q=Where+the+Wild+Things+Are+Maurice+Sendak+lexile+level,AD740,Educational Resources,2025-09-03,"AD=Adult Directed for ages 5-8, Grades K-3, AR 3.4, Caldecott Medal",Complete,AD,740.0,Adult_Directed,,,
"The Cat In The Hat (Cat In The Hat, #1)",Dr. Seuss,1091.0,0.9,"""The Cat in the Hat"" ""Dr. Seuss"" lexile level",https://www.google.com/search?q=The+Cat+in+the+Hat+Dr.+Seuss+lexile+level,430.0,Multiple Educational Sources,2025-09-03,"Fountas & Pinnell J, ATOS 2.1, Ages 3-7, 61 pages",Complete,,430.0,Standard_Lexile,,,
Green Eggs And Ham,Dr. Seuss,1356.0,0.8,"""Green Eggs and Ham"" ""Dr. Seuss"" lexile level",https://www.google.com/search?q=Green+Eggs+and+Ham+Dr.+Seuss+lexile+level,30.0,Official Amazon/Educational Sources,2025-09-03,"Uses only 50 words, 49 monosyllabic, Flesch Reading Ease 113.1; Ages 2-5, Pre-K to 1st grade, uses only 50 words, beginner reader",Complete,,30.0,Standard_Lexile,,,
Goodnight Moon,Margaret Wise Brown,1096.0,0.9,"""Goodnight Moon"" ""Margaret Wise Brown"" lexile level",https://www.google.com/search?q=Goodnight+Moon+Margaret+Wise+Brown+lexile+level,AD360,LightSailed,2025-09-03,"AD=Adult Directed, Fountas & Pinnell H, 4 words per page, ages 0-4",Complete,AD,360.0,Adult_Directed,,,
The Very Hungry Caterpillar,Eric Carle,1316.0,0.8,"""The Very Hungry Caterpillar"" ""Eric Carle"" lexile level",https://www.google.com/search?q=The+Very+Hungry+Caterpillar+Eric+Carle+lexile+level,AD460,Multiple Educational Sources,2025-09-03,"AD=Adult Directed, Guided Reading Level J, ages 3-7, classic picture book",Complete,AD,460.0,Adult_Directed,,,
Bridge To Terabithia,Katherine Paterson,1172.0,0.9,"""Bridge to Terabithia"" ""Katherine Paterson"" lexile level",https://www.google.com/search?q=Bridge+to+Terabithia+Katherine+Paterson+lexile+level,810.0,LightSailed/Educational Sources,2025-09-03,"AR 4.6, Grades 4-7, Ages 10-13, Newbery Medal Winner 1978",Complete,,810.0,Standard_Lexile,,,
Matilda,Roald Dahl,1288.0,0.8,"""Matilda"" ""Roald Dahl"" lexile level",https://www.google.com/search?q=Matilda+Roald+Dahl+lexile+level,840.0,LightSail Educational Platform,2025-09-03,"AR Level 5.0, Guided Reading Level R, Grades 3-4, Ages 8-12",Complete,,840.0,Standard_Lexile,,,
The Bfg,Roald Dahl,1253.0,0.8,"""The BFG"" ""Roald Dahl"" lexile level",https://www.google.com/search?q=The+BFG+Roald+Dahl+lexile+level,720.0,LightSail Educational Platform,2025-09-03,"ATOS Level 4.8, Grades 4-6, Ages 7-10, Classic Roald Dahl",Complete,,720.0,Standard_Lexile,,,
"Charlie And The Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,1309.0,0.8,"""Charlie and the Chocolate Factory"" ""Roald Dahl"" lexile level",https://www.google.com/search?q=Charlie+and+the+Chocolate+Factory+Roald+Dahl+lexile+level,810.0,Multiple Educational Sources,2025-09-03,"AR Level 4.8, Guided Reading Level R, Ages 8-12, Classic Roald Dahl",Complete,,810.0,Standard_Lexile,,,
The Giving Tree,Shel Silverstein,1092.0,0.9,"""The Giving Tree"" ""Shel Silverstein"" lexile level",https://www.google.com/search?q=The+Giving+Tree+Shel+Silverstein+lexile+level,530,Multiple Educational Sources,2025-09-03,"Ages 6-8, Grade 2-3, 64 pages, ~10 words per page, classic picture book",Complete,,530.0,Standard_Lexile,,,
Corduroy,Don Freeman,1023.0,0.9,"""Corduroy"" ""Don Freeman"" lexile level",https://www.google.com/search?q=Corduroy+Don+Freeman+lexile+level,600,Educational Reader's Guide,2025-09-03,"ATOS 3.5, Ages 3-8, Classic picture book, Don Freeman",Complete,,600.0,Standard_Lexile,,,
Madeline,Ludwig Bemelmans,1092.0,0.9,"""Madeline"" ""Ludwig Bemelmans"" lexile level",https://www.google.com/search?q=Madeline+Ludwig+Bemelmans+lexile+level,AD680,Multiple Educational Sources,2025-09-03,"AD=Adult Directed, Grades K-2, Classic picture book, Ludwig Bemelmans; Ages 4-8, Kindergarten to 3rd grade, classic picture book",Complete,AD,680.0,Adult_Directed,,,
Stellaluna,Janell Cannon,1216.0,0.8,"""Stellaluna"" ""Janell Cannon"" lexile level",https://www.google.com/search?q=Stellaluna+Janell+Cannon+lexile+level,AD550,Multiple Educational Sources,2025-09-03,"AD=Adult Directed, ATOS 3.5, Ages 1-6, Bat picture book, Janell Cannon",Complete,AD,550.0,Adult_Directed,,,
"Diary Of A Wimpy Kid (Diary Of A Wimpy Kid, #1)",Jeff Kinney,1218.0,0.8,"""Diary of a Wimpy Kid"" ""Jeff Kinney"" lexile level",https://www.google.com/search?q=Diary+of+a+Wimpy+Kid+Jeff+Kinney+lexile+level,950,LightSail Educational Platform,2025-09-03,"Grades 4-6, Ages 8-12, Graphic novel format, Contemporary humor series",Complete,,950.0,Standard_Lexile,,,
"Dinosaurs Before Dark (Magic Tree House, #1)",Mary Pope Osborne,1276.0,0.8,"""Magic Tree House"" ""Mary Pope Osborne"" lexile level",https://www.google.com/search?q=Magic+Tree+House+Mary+Pope+Osborne+lexile+level,510,Multiple Educational Sources,2025-09-03,"AR 2.5, Ages 6-9, Grades 2-3, Adventure series, Mary Pope Osborne",Complete,,510.0,Standard_Lexile,,,
"Junie B. Jones Is A Party Animal (Junie B. Jones, #10)",Barbara Park,1280.0,0.8,"""Junie B. Jones"" ""Barbara Park"" lexile level",https://www.google.com/search?q=Junie+B.+Jones+Barbara+Park+lexile+level,380,Multiple Educational Sources,2025-09-03,"AR 2.8, Ages 6-9, Grades 1-3, Chapter book series, Barbara Park",Complete,,380.0,Standard_Lexile,,,
"The Adventures Of Captain Underpants (Captain Underpants, #1)",Dav Pilkey,1520.0,0.6,"""Captain Underpants"" ""Dav Pilkey"" lexile level",https://www.google.com/search?q=Captain+Underpants+Dav+Pilkey+lexile+level,720,Multiple Educational Sources,2025-09-03,"Grades 2-5, Ages 7-10, Graphic novel humor series, Dav Pilkey",Complete,,720.0,Standard_Lexile,,,
"Inside The Human Body (The Magic School Bus, #3)",Joanna Cole,1257.0,0.8,"""The Magic School Bus"" ""Joanna Cole"" lexile level",https://www.google.com/search?q=The+Magic+School+Bus+Joanna+Cole+lexile+level,,,,"Ages 5-9, Grades 1-4, educational science series; Predicted: 465L (age model)",Pending,,,,465.0,High,Age-based model
"Wonder (Wonder, #1)",R.J. Palacio,1318.0,0.8,"""Wonder"" ""R.J. Palacio"" lexile level",https://www.google.com/search?q=Wonder+R.J.+Palacio+lexile+level,790,LightSail Educational Platform,2025-09-03,"AR 4.8, Guided Reading U, Ages 8-12, Grades 3-7, Newbery Honor",Complete,,790.0,Standard_Lexile,,,
Number The Stars,Lois Lowry,1188.0,0.9,"""Number the Stars"" ""Lois Lowry"" lexile level",https://www.google.com/search?q=Number+the+Stars+Lois+Lowry+lexile+level,670,Multiple Educational Sources,2025-09-03,"AR 4.5, Ages 10-12, Grades 4-6, WWII historical fiction, Newbery Medal",Complete,,670.0,Standard_Lexile,,,
"The Giver (The Giver, #1)",Lois Lowry,1092.0,0.9,"""The Giver"" ""Lois Lowry"" lexile level",https://www.google.com/search?q=The+Giver+Lois+Lowry+lexile+level,760,LightSail Educational Platform,2025-09-03,"ATOS 5.7, Ages 12-14, Grades 6-8, Newbery Medal, dystopian themes",Complete,,760.0,Standard_Lexile,,,
"Holes (Holes, #1)",Louis Sachar,1239.0,0.8,"""Holes"" ""Louis Sachar"" lexile level",https://www.google.com/search?q=Holes+Louis+Sachar+lexile+level,660,Multiple Educational Sources,2025-09-03,"AR 4.6, Guided Reading V, Ages 9-12, Grades 4-8, Newbery Medal",Complete,,660.0,Standard_Lexile,,,
"Hatchet (Brian'S Saga, #1)",Gary Paulsen,1293.0,0.8,"""Hatchet"" ""Gary Paulsen"" lexile level",https://www.google.com/search?q=Hatchet+Gary+Paulsen+lexile+level,1020,Multiple Educational Sources,2025-09-03,"AR 5.7, Ages 10-14, Grades 5-8, Survival adventure, Gary Paulsen classic",Complete,,1020.0,Standard_Lexile,,,
Island Of The Blue Dolphins,Scott O'Dell,1010.0,0.9,"""Island of the Blue Dolphins"" ""Scott O'Dell"" lexile level",https://www.google.com/search?q=Island+of+the+Blue+Dolphins+Scott+O'Dell+lexile+level,1000,Multiple Educational Sources,2025-09-03,"Grades 4-6, Newbery Medal 1961, Survival story, Scott O'Dell classic; Ages 8-12, Grades 4-6, Newbery Medal winner 1961",Complete,,1000.0,Standard_Lexile,,,
"A Wrinkle In Time (Time Quintet, #1)",Madeleine L'Engle,1203.0,0.8,"""A Wrinkle in Time"" ""Madeleine L'Engle"" lexile level",https://www.google.com/search?q=A+Wrinkle+in+Time+Madeleine+L'Engle+lexile+level,740,LightSail Educational Platform,2025-09-03,"ATOS 4.7, Guided Reading R, Ages 9-12, Newbery Medal, Science fiction classic",Complete,,740.0,Standard_Lexile,,,
"The Lion, The Witch And The Wardrobe (Chronicles Of Narnia, #1)",C.S. Lewis,1227.0,0.8,"""The Lion, the Witch and the Wardrobe"" ""C.S. Lewis"" lexile level","https://www.google.com/search?q=The+Lion,+the+Witch+and+the+Wardrobe+C.S.+Lewis+lexile+level",940,Multiple Educational Sources,2025-09-03,"ATOS 5.7, Guided Reading T, Grades 4-7, Fantasy classic, C.S. Lewis; Ages 8-12, Grades 4-7, fantasy classic",Complete,,940.0,Standard_Lexile,,,
Bob'S Booger,Scott Black,582.0,0.9,"""Bob'S Booger"" ""Scott Black"" lexile level",https://www.google.com/search?q=Bob'S+Booger+Scott+Black+lexile+level,,,,,Sample_Transitional,,,,,,
The Poky Little Puppy,Janette Sebring Lowrey,971.0,0.9,"""The Poky Little Puppy"" ""Janette Sebring Lowrey"" lexile level",https://www.google.com/search?q=The+Poky+Little+Puppy+Janette+Sebring+Lowrey+lexile+level,,,,"Ages 2-5, classic children's book",Sample_Middle_Grade,,,,,,
Make Way For Ducklings,Robert Mccloskey,980.0,0.9,"""Make Way For Ducklings"" ""Robert Mccloskey"" lexile level",https://www.google.com/search?q=Make+Way+For+Ducklings+Robert+Mccloskey+lexile+level,,,,"Ages 3-7, Pre-K to 2nd grade, Caldecott Medal winner; Predicted: 461L (age model)",Sample_Middle_Grade,,,,461.0,High,Age-based model
Clifford The Big Red Dog,Norman Bridwell,994.0,0.9,"""Clifford The Big Red Dog"" ""Norman Bridwell"" lexile level",https://www.google.com/search?q=Clifford+The+Big+Red+Dog+Norman+Bridwell+lexile+level,,,,"Ages 3-7, Pre-K to 2nd grade, beginning reader series; Predicted: 443L (age model)",Sample_Middle_Grade,,,,443.0,High,Age-based model
"Watership Down (Watership Down, #1)",Richard Adams,970.0,0.9,"""Watership Down (Watership Down, #1)"" ""Richard Adams"" lexile level","https://www.google.com/search?q=Watership+Down+(Watership+Down,+#1)+Richard+Adams+lexile+level",,,,"Ages 10-16, Grades 5-10, complex animal fantasy; Predicted: 915L (age model)",Sample_Middle_Grade,,,,915.0,High,Age-based model
Five Little Monkeys Jumping On The Bed,Eileen Christelow,935.0,0.9,"""Five Little Monkeys Jumping On The Bed"" ""Eileen Christelow"" lexile level",https://www.google.com/search?q=Five+Little+Monkeys+Jumping+On+The+Bed+Eileen+Christelow+lexile+level,,,,"Ages 2-6, Pre-K to 1st grade, counting/bedtime story; Predicted: 439L (age model)",Sample_Middle_Grade,,,,439.0,High,Age-based model
Owl Babies,Martin Waddell,788.0,0.9,"""Owl Babies"" ""Martin Waddell"" lexile level",https://www.google.com/search?q=Owl+Babies+Martin+Waddell+lexile+level,,,,"Ages 3-7, Pre-K to 1st grade, British picture book about separation anxiety; Predicted: 453L (age model)",Sample_Middle_Grade,,,,453.0,High,Age-based model
The Country Bunny And The Little Gold Shoes,Dubose Heyward,985.0,0.9,"""The Country Bunny And The Little Gold Shoes"" ""Dubose Heyward"" lexile level",https://www.google.com/search?q=The+Country+Bunny+And+The+Little+Gold+Shoes+Dubose+Heyward+lexile+level,,,,"Ages 4-8, classic Easter story",Sample_Middle_Grade,,,,,,
Diary Of A Worm,Doreen Cronin,948.0,0.9,"""Diary Of A Worm"" ""Doreen Cronin"" lexile level",https://www.google.com/search?q=Diary+Of+A+Worm+Doreen+Cronin+lexile+level,,,,"Ages 4-8, picture book",Sample_Middle_Grade,,,,,,
"Miss Nelson Is Back (Miss Nelson, #2)",Harry Allard,977.0,0.9,"""Miss Nelson Is Back (Miss Nelson, #2)"" ""Harry Allard"" lexile level","https://www.google.com/search?q=Miss+Nelson+Is+Back+(Miss+Nelson,+#2)+Harry+Allard+lexile+level",,,,"Ages 4-8, elementary chapter book",Sample_Middle_Grade,,,,,,
Duck On A Bike,David Shannon,994.0,0.9,"""Duck On A Bike"" ""David Shannon"" lexile level",https://www.google.com/search?q=Duck+On+A+Bike+David+Shannon+lexile+level,,,,"Ages 3-7, Pre-K to 2nd grade, David Shannon book; Predicted: 443L (age model)",Sample_Middle_Grade,,,,443.0,High,Age-based model
"Good Dog, Carl (Good Dog, Carl, #1)",Alexandra Day,824.0,0.9,"""Good Dog, Carl (Good Dog, Carl, #1)"" ""Alexandra Day"" lexile level","https://www.google.com/search?q=Good+Dog,+Carl+(Good+Dog,+Carl,+#1)+Alexandra+Day+lexile+level",,,,"Ages 1-3 (board book), 4-8 (other editions), wordless picture book",Sample_Middle_Grade,,,,,,
If You Take A Mouse To School,Laura Numeroff,768.0,0.9,"""If You Take A Mouse To School"" ""Laura Numeroff"" lexile level",https://www.google.com/search?q=If+You+Take+A+Mouse+To+School+Laura+Numeroff+lexile+level,,,,"Ages 3-7, If You Give series",Sample_Middle_Grade,,,,,,
A Fly Went By,Mike Mcclintock,879.0,0.9,"""A Fly Went By"" ""Mike Mcclintock"" lexile level",https://www.google.com/search?q=A+Fly+Went+By+Mike+Mcclintock+lexile+level,,,,"Ages 4-8, Grades 1-2, beginner reader, cumulative story; Predicted: 459L (age model)",Sample_Middle_Grade,,,,459.0,High,Age-based model
The Pigeon Finds A Hot Dog!,Mo Willems,845.0,0.9,"""The Pigeon Finds A Hot Dog!"" ""Mo Willems"" lexile level",https://www.google.com/search?q=The+Pigeon+Finds+A+Hot+Dog!+Mo+Willems+lexile+level,,,,"Ages 3-7, Pre-K to 2nd grade, Mo Willems series; Predicted: 443L (age model)",Sample_Middle_Grade,,,,443.0,High,Age-based model
"The Silver Chair (Chronicles Of Narnia, #4)",C.S. Lewis,999.0,0.9,"""The Silver Chair (Chronicles Of Narnia, #4)"" ""C.S. Lewis"" lexile level","https://www.google.com/search?q=The+Silver+Chair+(Chronicles+Of+Narnia,+#4)+C.S.+Lewis+lexile+level",,,,"Ages 8-12, Grades 4-7, Narnia series book 4; Predicted: 863L (age model)",Sample_Middle_Grade,,,,863.0,High,Age-based model
Charlotte'S Web,E.B. White,1167.0,0.9,"""Charlotte'S Web"" ""E.B. White"" lexile level",https://www.google.com/search?q=Charlotte'S+Web+E.B.+White+lexile+level,,,,"Ages 7-11, classic children's literature",Sample_Advanced,,,,,,
If You Give A Mouse A Cookie,Laura Joffe Numeroff,1244.0,0.8,"""If You Give A Mouse A Cookie"" ""Laura Joffe Numeroff"" lexile level",https://www.google.com/search?q=If+You+Give+A+Mouse+A+Cookie+Laura+Joffe+Numeroff+lexile+level,,,,"Ages 3-7, Pre-K to 2nd grade, circular story pattern; Predicted: 443L (age model)",Sample_Advanced,,,,443.0,High,Age-based model
Love You Forever,Robert Munsch,1244.0,0.8,"""Love You Forever"" ""Robert Munsch"" lexile level",https://www.google.com/search?q=Love+You+Forever+Robert+Munsch+lexile+level,,,,"Ages 3-8, All ages, emotional family story; Predicted: 480L (age model)",Sample_Advanced,,,,480.0,High,Age-based model
Corduroy,Don Freeman,1023.0,0.9,"""Corduroy"" ""Don Freeman"" lexile level",https://www.google.com/search?q=Corduroy+Don+Freeman+lexile+level,600,Educational Reader's Guide,2025-09-03,"ATOS 3.5, Ages 3-8, Classic picture book, Don Freeman",Complete,,600.0,Standard_Lexile,,,
Madeline,Ludwig Bemelmans,1092.0,0.9,"""Madeline"" ""Ludwig Bemelmans"" lexile level",https://www.google.com/search?q=Madeline+Ludwig+Bemelmans+lexile+level,AD680,Multiple Educational Sources,2025-09-03,"AD=Adult Directed, Grades K-2, Classic picture book, Ludwig Bemelmans; Ages 4-8, Kindergarten to 3rd grade, classic picture book",Complete,AD,680.0,Adult_Directed,,,
The Velveteen Rabbit,Margery Williams Bianco,1203.0,0.8,"""The Velveteen Rabbit"" ""Margery Williams Bianco"" lexile level",https://www.google.com/search?q=The+Velveteen+Rabbit+Margery+Williams+Bianco+lexile+level,,,,"Ages 4-8, Grades 1-3, classic children's literature; Predicted: 480L (age model)",Sample_Advanced,,,,480.0,High,Age-based model
The Monster At The End Of This Book,Jon Stone,1236.0,0.8,"""The Monster At The End Of This Book"" ""Jon Stone"" lexile level",https://www.google.com/search?q=The+Monster+At+The+End+Of+This+Book+Jon+Stone+lexile+level,,,,"Ages 3-7, Pre-K to 2nd grade, interactive Sesame Street book; Predicted: 434L (age model)",Sample_Advanced,,,,434.0,High,Age-based model
Chicka Chicka Boom Boom,Bill Martin Jr.,1084.0,0.9,"""Chicka Chicka Boom Boom"" ""Bill Martin Jr."" lexile level",https://www.google.com/search?q=Chicka+Chicka+Boom+Boom+Bill+Martin+Jr.+lexile+level,,,,"Ages 2-6, Pre-K to 1st grade, alphabet learning; Predicted: 439L (age model)",Sample_Advanced,,,,439.0,High,Age-based model
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,1149.0,0.9,"""Brown Bear, Brown Bear, What Do You See?"" ""Bill Martin Jr."" lexile level","https://www.google.com/search?q=Brown+Bear,+Brown+Bear,+What+Do+You+See?+Bill+Martin+Jr.+lexile+level",,,,"Ages 2-5, Pre-K to 1st grade, repetitive pattern book; Predicted: 427L (age model)",Sample_Advanced,,,,427.0,High,Age-based model
"Alexander And The Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,1261.0,0.8,"""Alexander And The Terrible, Horrible, No Good, Very Bad Day"" ""Judith Viorst"" lexile level","https://www.google.com/search?q=Alexander+And+The+Terrible,+Horrible,+No+Good,+Very+Bad+Day+Judith+Viorst+lexile+level",,,,"Ages 4-8, Grades 1-3, dealing with bad days; Predicted: 459L (age model)",Sample_Advanced,,,,459.0,High,Age-based model
"Harold And The Purple Crayon (Harold, #1)",Crockett Johnson,1329.0,0.8,"""Harold And The Purple Crayon (Harold, #1)"" ""Crockett Johnson"" lexile level","https://www.google.com/search?q=Harold+And+The+Purple+Crayon+(Harold,+#1)+Crockett+Johnson+lexile+level",,,,"Ages 3-7, Pre-K to 2nd grade, imagination and creativity; Predicted: 434L (age model)",Sample_Young_Adult,,,,434.0,High,Age-based model
"The Chronicles Of Narnia (The Chronicles Of Narnia, #1-7)",C.S. Lewis,1380.0,0.8,"""The Chronicles Of Narnia (The Chronicles Of Narnia, #1-7)"" ""C.S. Lewis"" lexile level","https://www.google.com/search?q=The+Chronicles+Of+Narnia+(The+Chronicles+Of+Narnia,+#1-7)+C.S.+Lewis+lexile+level",,,,"Ages 8-14, Grades 4-8, complete fantasy series; Predicted: 881L (age model)",Sample_Young_Adult,,,,881.0,High,Age-based model
The Stinky Cheese Man And Other Fairly Stupid Tales,Jon Scieszka,1490.0,0.8,"""The Stinky Cheese Man And Other Fairly Stupid Tales"" ""Jon Scieszka"" lexile level",https://www.google.com/search?q=The+Stinky+Cheese+Man+And+Other+Fairly+Stupid+Tales+Jon+Scieszka+lexile+level,,,,"Ages 6-10, Grades 2-4, fractured fairy tales; Predicted: 606L (age model)",Sample_Young_Adult,,,,606.0,High,Age-based model
The Paper Bag Princess,Robert Munsch,1419.0,0.8,"""The Paper Bag Princess"" ""Robert Munsch"" lexile level",https://www.google.com/search?q=The+Paper+Bag+Princess+Robert+Munsch+lexile+level,,,,"Ages 4-8, Grades 1-3, feminist fairy tale; Predicted: 459L (age model)",Sample_Young_Adult,,,,459.0,High,Age-based model
