title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url,description,title_clean,author_clean,reading_level_sources,has_level_data,reading_level_estimate,summary_gpt,themes,tone,age_range_llm,reading_level_llm,complexity_analysis,reading_confidence_llm,llm_skipped,skip_reason,enriched_lexile_score,enriched_lexile_source,enriched_lexile_confidence,enrichment_method,enrichment_date,found
Bridge to Terabithia,Katherine Paterson,https://www.goodreads.com/book/show/40940121-bridge-to-terabithia,Bridge to Terabithia,Katherine Paterson,https://covers.openlibrary.org/b/id/12627341-L.jpg,https://openlibrary.org/works/OL27079W,"The life of a ten-year-old boy in rural Virginia expands when he becomes friends with a newcomer who subsequently meets an untimely death trying to reach their hideaway, Terabithia, during a storm.",Bridge To Terabithia,Katherine Paterson,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A ten-year-old boy's life in rural Virginia is transformed when he befriends a newcomer who tragically dies while trying to reach their secret hideaway, Terabithia.","friendship, imagination, loss, grief",emotional,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,810.0,Educational Testing Service,high,demo_known_scores,2025-09-09T22:43:21.800630,True
Blueberries for Sal,Robert McCloskey,https://www.goodreads.com/book/show/133526.Blueberries_for_Sal,Blueberries for Sal,Robert McCloskey,https://covers.openlibrary.org/b/id/11307420-L.jpg,https://openlibrary.org/works/OL4638387W,Recommended by Mental Floss: 50 Essential Children's Books,Blueberries For Sal,Robert Mccloskey,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A sweet story of two little girls and their mothers picking blueberries in Maine, with a mix-up that leads to unexpected adventures.","nature, exploration, curiosity",whimsical,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,demo_known_scores,2025-09-09T22:43:21.800660,False
Clifford the Big Red Dog,Norman Bridwell,https://www.goodreads.com/book/show/858719.Clifford_the_Big_Red_Dog,Clifford the Big Red Dog,Norman Bridwell,https://covers.openlibrary.org/b/id/383686-L.jpg,https://openlibrary.org/works/OL73128W,Emily Elizabeth describes the activities she enjoys with her very big red dog and how they take care of each other.,Clifford The Big Red Dog,Norman Bridwell,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 1.0, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 1.0, ""source"": ""llm_analysis""}",A girl and her oversized red dog share adventures and take care of each other.,"friendship, companionship, responsibility",heartwarming,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",1.0,,,,not_found,none,demo_known_scores,2025-09-09T22:43:21.800690,False
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,"The Lion, the Witch and the Wardrobe",C.S. Lewis,https://covers.openlibrary.org/b/id/8441376-L.jpg,https://openlibrary.org/works/OL71037W,"Four adventurous siblings—Peter, Susan, Edmund, and Lucy Pevensie—step through a wardrobe door and into the land of Narnia, a land frozen in eternal winter and enslaved by the power of the White Witch. But when almost all hope is lost, the return of the Great Lion, Aslan, signals a great change . . . and a great sacrifice.

Journey into the land beyond the wardrobe! The Lion, the Witch and the Wardrobe is the second book in C. S. Lewis's classic fantasy series, which has been captivating readers of all ages for over sixty years. This is a stand-alone novel, but if you would like journey back to Narnia, read The Horse and His Boy, the third book in The Chronicles of Narnia.
([source][1])


  [1]: http://www.cslewis.com/us/books/hardcover/the-lion-the-witch-and-the-wardrobe/9780060234812/


----------
Also contained in:

 - [Chronicles of Narnia](https://openlibrary.org/works/OL70988W/The_Chronicles_of_Narnia)
 - [Tales of Narnia](https://openlibrary.org/works/OL71080W)","The Lion, The Witch And The Wardrobe (Chronicles Of Narnia, #1)",C.S. Lewis,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","Four siblings discover a magical world through a wardrobe, where they must help a lion defeat an evil witch. The story is about bravery, sacrifice, and the triumph of good over evil.","adventure, bravery, good vs. evil, sacrifice",adventurous,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,demo_known_scores,2025-09-09T22:43:21.800720,False
"The Snowy Day (Peter, #1)",Ezra Jack Keats,https://www.goodreads.com/book/show/310258.The_Snowy_Day,The Snowy Day,Ezra Jack Keats,https://covers.openlibrary.org/b/id/10134995-L.jpg,https://openlibrary.org/works/OL831023W,"Winner of the 1963 Caldecott Medal, Keats' story of a young boy experiencing the year's first snowfall has delighted millions of readers.  Peter, The Snowy Day's protagonist, wakes up to the season’s first snowfall. In his bright red snowsuit, he goes outside and makes footprints and trails through the snow. Peter is too young to join a snowball fight with older kids, so he makes a snowman and snow angels and slides down a hill. He returns home with a snowball stashed in his pocket. Before he goes to bed, Peter is sad to discover the snowball has melted. The next day, he wakes up to tons more falling snow. With a friend, he ventures outside again.","The Snowy Day (Peter, #1)",Ezra Jack Keats,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A young boy named Peter enjoys the season's first snowfall , snow angels, and a snowman. He faces the disappointment of a melted snowball but finds joy in fresh snow the next day.","childhood, winter, imagination, friendship",nostalgic,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,demo_known_scores,2025-09-09T22:43:21.800750,False
The Paper Bag Princess,Robert Munsch,https://www.goodreads.com/book/show/240130.The_Paper_Bag_Princess,The Paper Bag Princess (Classic Munsch),Robert N Munsch,https://covers.openlibrary.org/b/id/707991-L.jpg,https://openlibrary.org/works/OL88684W,"Story about not accepting failure or giving up on what you want.  It's not about looks or power but tenacity and quick thinking. Hurray for you Princess of the Paper Bag.  Very short, easy reading.  I wanted to hear more about her.",The Paper Bag Princess,Robert Munsch,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A story about perseverance and quick thinking, emphasizing inner qualities over external appearances. The protagonist, a resourceful princess, demonstrates resilience in the face of challenges.","perseverance, inner beauty, resourcefulness",uplifting,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,demo_known_scores,2025-09-09T22:43:21.800779,False
Tikki Tikki Tembo,Arlene Mosel,https://www.goodreads.com/book/show/551876.Tikki_Tikki_Tembo,Tikki Tikki Tembo,Arlene Mosel,https://covers.openlibrary.org/b/id/579117-L.jpg,https://openlibrary.org/works/OL4510657W,The book tells the story of a Chinese boy with a long name who fell into a well. It is a sort of origin myth about why Chinese names are so short today (wikipedia),Tikki Tikki Tembo,Arlene Mosel,"{""llm_analysis"": {""age_range"": ""3-6"", ""reading_category"": ""Early Readers (3-6)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-6"", ""reading_category"": ""Early Readers (3-6)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A Chinese boy with a long name falls into a well, leading to the origin of shorter Chinese names today.","culture, tradition, naming",educational,3-6,Early Readers (3-6),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,demo_known_scores,2025-09-09T22:43:21.800807,False
A Bad Case of Stripes (Scholastic Bookshelf),David Shannon,https://www.goodreads.com/book/show/474858.A_Bad_Case_of_Stripes,A bad case of stripes,David Shannon,https://covers.openlibrary.org/b/id/385807-L.jpg,https://openlibrary.org/works/OL547371W,"In order to ensure her popularity, Camilla Cream always does what is expected, until the day arrives when she no longer recognizes herself.",A Bad Case Of Stripes (Scholastic Bookshelf),David Shannon,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A girl named Camilla Cream always tries to please others to be popular, but one day she undergoes a strange transformation.","identity, self-acceptance, conformity",whimsical,6-8,Beginning Readers (6-8),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,demo_known_scores,2025-09-09T22:43:21.800836,False
Chrysanthemum,Kevin Henkes,https://www.goodreads.com/book/show/858513.Chrysanthemum,Chrysanthemum,Kevin Henkes,https://covers.openlibrary.org/b/id/6712201-L.jpg,https://openlibrary.org/works/OL469283W,"Chrysanthemum loves her name, until she starts going to school and the other children make fun of it.",Chrysanthemum,Kevin Henkes,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",Chrysanthemum loves her name until she faces teasing at school.,"identity, bullying, self-acceptance",empathetic,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,demo_known_scores,2025-09-09T22:43:21.800866,False
"Miss Nelson Is Missing! (Miss Nelson, #1)",Harry Allard,https://www.goodreads.com/book/show/147732.Miss_Nelson_Is_Missing_,Miss Nelson is missing!,Harry Allard,https://covers.openlibrary.org/b/id/255503-L.jpg,https://openlibrary.org/works/OL3237560W,The kids in Room 207 take advantage of their teacher's good nature until she disappears and they are faced with a vile substitute.,"Miss Nelson Is Missing! (Miss Nelson, #1)",Harry Allard,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","When their kind teacher disappears, the students of Room 207 are left to deal with a strict substitute teacher. Will they learn to appreciate Miss Nelson's kindness?","friendship, respect, teamwork",humorous,6-8,Beginning Readers (6-8),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,demo_known_scores,2025-09-09T22:43:21.800898,False
"Click, Clack, Moo: Cows That Type",Doreen Cronin,https://www.goodreads.com/book/show/766955.Click_Clack_Moo,"Click, Clack, Moo Cows That Type",Doreen Cronin,https://covers.openlibrary.org/b/id/5725264-L.jpg,https://openlibrary.org/works/OL5703631W,"When Farmer Brown's cows find a typewriter in the barn they start making demands, and go on strike when the farmer refuses to give them what they want.","Click, Clack, Moo: Cows That Type",Doreen Cronin,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A humorous story about cows who find a typewriter and start making demands to Farmer Brown, leading to a strike when their requests are denied.","communication, negotiation, teamwork",humorous,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,demo_known_scores,2025-09-09T22:43:21.800936,False
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,https://www.goodreads.com/book/show/3980.From_the_Mixed_Up_Files_of_Mrs_Basil_E_Frankweiler,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E. L. Konigsburg,https://covers.openlibrary.org/b/id/541206-L.jpg,https://openlibrary.org/works/OL2987238W,"Having run away with her younger brother to live in the Metropolitan Museum of Art, twelve-year-old Claudia strives to keep things in order in their new home and to become a changed person and a heroine to herself.",From The Mixed-Up Files Of Mrs. Basil E. Frankweiler,E.L. Konigsburg,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","Two siblings run away to live in a museum, where they strive to maintain order and discover themselves.","adventure, identity, self-discovery",adventurous,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,demo_known_scores,2025-09-09T22:43:21.800967,False
"The Indian in the Cupboard (The Indian in the Cupboard, #1)",Lynne Reid Banks,https://www.goodreads.com/book/show/125404.The_Indian_in_the_Cupboard,The Indian in the Cupboard,Lynne Reid Banks,https://covers.openlibrary.org/b/id/6961353-L.jpg,https://openlibrary.org/works/OL50627W,"**What could be better than a magic cupboard that turns small toys into living creatures?**
 Omri's big brother has no birthday present for him, so he gives Omri an old medicine cabinet he's found. Although their mother supplies a key, the cabinet still doesn't seem like much of a present. But when an exhausted Omri dumps a plastic toy Indian into the cabinet just before falling asleep, the magic begins. Turn the key once and the toy comes alive; turn it a second time and it's an action figure again.

*The Indian in the Cupboard* is one of those rare books that is equally appealing to children and adults. The story of Omri and the Indian, Little Bear, is replete with subtle reminders of the responsibilities that accompany friendship and love. For kids, it's a great yarn; for most parents, it's also a reminder that Omri's wrenching decision to send his toy back to its own world is not so different from the recognition of their children's emerging independence.","The Indian In The Cupboard (The Indian In The Cupboard, #1)",Lynne Reid Banks,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","A boy discovers a magic cupboard that brings his toy Indian to life, leading to a tale of friendship and responsibility. Both kids and adults find the story engaging, with themes of friendship, love, and independence.","friendship, love, independence, responsibility",heartwarming,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,demo_known_scores,2025-09-09T22:43:21.800999,False
The Adventures of Tom Sawyer,Mark Twain,https://www.goodreads.com/book/show/24583.The_Adventures_of_Tom_Sawyer,The Adventures of Tom Sawyer,Mark Twain,https://covers.openlibrary.org/b/id/12043351-L.jpg,https://openlibrary.org/works/OL53919W,"Mark Twain created the memorable characters Tom Sawyer and Huckleberry Finn drawing from the experiences of boys he grew up with in Missouri. Set by the Mississippi River in the 1840's, it follows these boys as they get into predicament after predicament. Tom's classic whitewashing of the fence has become part of American legend, and the book paints a nostalgic picture of life in the middle of the nineteenth century. Tom runs away from home to an island in the river, chases Injun Joe and his treasure, and even gets trapped in a cave for days with Becky Thatcher. The book is one of Twain's most beloved stories.",The Adventures Of Tom Sawyer,Mark Twain,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","Follow the adventures of Tom Sawyer and Huckleberry Finn in this From whitewashing a fence to chasing treasure, the boys find themselves in various predicaments, creating a nostalgic picture of life in the 19th century.","friendship, adventure, youth, nostalgia",adventurous,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,demo_known_scores,2025-09-09T22:43:21.801031,False
"Olivia (Olivia, #1)",Ian Falconer,https://www.goodreads.com/book/show/770051.Olivia,Olivia,Ian Falconer,https://covers.openlibrary.org/b/id/954704-L.jpg,https://openlibrary.org/works/OL82700W,"Whether at home getting ready for the day, enjoying the beach, or at bedtime, Olivia is a feisty pig who has too much energy for her own good.","Olivia (Olivia, #1)",Ian Falconer,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","Follow the adventures of Olivia, a spirited pig with boundless energy, as she navigates daily activities at home, the beach, and bedtime.","energy, imagination, family",spirited,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,demo_known_scores,2025-09-09T22:43:21.801139,False
"Sideways Stories from Wayside School (Wayside School, #1)",Louis Sachar,https://www.goodreads.com/book/show/15779.Sideways_Stories_from_Wayside_School,Sideways Stories from Wayside School,Louis Sachar,https://covers.openlibrary.org/b/id/6746131-L.jpg,https://openlibrary.org/works/OL116266W,"Presents humorous episodes from the classroom on the thirtieth floor of Wayside School, which was accidentally built sideways with one classroom on each story.","Sideways Stories From Wayside School (Wayside School, #1)",Louis Sachar,"{""llm_analysis"": {""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""6-8"", ""reading_category"": ""Beginning Readers (6-8)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",A collection of funny stories from a school where each classroom is on a different floor due to a construction error.,"humor, school life, friendship",whimsical,6-8,Beginning Readers (6-8),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,demo_known_scores,2025-09-09T22:43:21.801200,False
The Little House,Virginia Lee Burton,https://www.goodreads.com/book/show/153540.The_Little_House,The Little House,Virginia Lee Burton,https://covers.openlibrary.org/b/id/8772064-L.jpg,https://openlibrary.org/works/OL3253362W,"A country house is unhappy when the city, with all its buildings and traffic, grows up around her.",The Little House,Virginia Lee Burton,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",A story about a country house feeling unhappy as the city grows around her.,"change, urbanization, nostalgia",nostalgic,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,demo_known_scores,2025-09-09T22:43:21.801245,False
Harry the Dirty Dog,Gene Zion,https://www.goodreads.com/book/show/857448.Harry_the_Dirty_Dog,Harry the Dirty Dog,Gene Zion,https://covers.openlibrary.org/b/id/24282-L.jpg,https://openlibrary.org/works/OL1973379W,"When a white dog with black spots runs away from home, he gets so dirty his family doesn't recognize him as a black dog with white spots.",Harry The Dirty Dog,Gene Zion,"{""llm_analysis"": {""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""3-5"", ""reading_category"": ""Early Readers (3-5)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}",A dog named Harry runs away from home and gets so dirty that his family mistakes him for a different dog.,"identity, family, adventure",whimsical,3-5,Early Readers (3-5),"{""vocabulary"": ""simple"", ""sentence_structure"": ""simple"", ""concepts"": ""concrete""}",0.9,,,,not_found,none,demo_known_scores,2025-09-09T22:43:21.801286,False
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,https://covers.openlibrary.org/b/id/10580435-L.jpg,https://openlibrary.org/works/OL82536W,"For Harry Potter, it’s the start of another far-from-ordinary year at Hogwarts when the Knight Bus crashes through the darkness and comes to an abrupt halt in front of him.

It turns out that Sirius Black, mass-murderer and follower of Lord Voldemort, has escaped – and they say he is coming after Harry.

In his first Divination class, Professor Trelawney sees an omen of death in Harry’s tea leaves.

And perhaps most frightening of all are the Dementors patrolling the school grounds with their soul-sucking kiss – in search of fresh victims.

([source][1])


  [1]: https://www.jkrowling.com/book/harry-potter-prisoner-azkaban/","Harry Potter And The Prisoner Of Azkaban (Harry Potter, #3)",J.K. Rowling,"{""llm_analysis"": {""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""gpt_analysis""}}",True,"{""age_range"": ""9-12"", ""reading_category"": ""Intermediate Readers (9-12)"", ""confidence"": 0.9, ""source"": ""llm_analysis""}","Harry Potter faces new challenges at Hogwarts as Sirius Black, a dangerous fugitive, escapes and threatens him. With ominous predictions and soul-sucking Dementors on the loose, Harry must navigate through a year of danger and uncertainty.","friendship, loyalty, danger, magic",adventurous,9-12,Intermediate Readers (9-12),"{""vocabulary"": ""moderate"", ""sentence_structure"": ""moderate"", ""concepts"": ""mixed""}",0.9,,,,not_found,none,demo_known_scores,2025-09-09T22:43:21.801325,False
