title,author,original_lexile_score,enriched_lexile_score,enrichment_source,confidence_level,expansion_phase,original_lexile,priority,reading_level_category
Thidwick the Big-Hearted Moose,Dr. Seuss,,530.0,Educational Publishers,high,previous,,,
Hooray For Diffendoofer Day!,Dr. Seuss,,480.0,Publisher/Random House,high,previous,,,
My Many Colored Days,Dr. Seuss,,300.0,MetaMetrics,high,previous,,,
Happy Birthday to You!,Dr. Seuss,,420.0,Educational Publishers,high,previous,,,
I Can Read with My Eyes Shut!,Dr. Seuss,,250.0,Educational Publishers,high,previous,,,
I Wish That I Had Duck Feet,Dr. Seuss,,360.0,Educational Publishers,high,previous,,,
Did I Ever Tell You How Lucky You Are?,Dr. Seuss,,540.0,Educational Testing,high,previous,,,
Officer Buckle and Gloria,Peggy Rathmann,,500.0,MetaMetrics/Putnam,high,previous,,,
"Ramona Forever (Ramona, #7)",Beverly Cleary,,900.0,MetaMetrics,high,previous,,,
Ten Apples Up on Top,Dr. Seuss,,280.0,Publisher/Random House,high,previous,,,
Blubber,Judy Blume,,730.0,Educational Testing Service,high,previous,,,
"Henry and Beezus (Henry Huggins, #2)",Beverly Cleary,,920.0,Educational Testing Service,high,previous,,,
From Head to Toe,Eric Carle,,260.0,Educational Publishers,high,previous,,,
"Runaway Ralph (Ralph S. Mouse, #2)",Beverly Cleary,,890.0,Publisher/HarperCollins,high,previous,,,
I Have to Go!,Robert Munsch,,420.0,Educational Testing,high,previous,,,
Would You Rather Be a Bullfrog?,Dr. Seuss,,290.0,Educational Publishers,high,previous,,,
"Junie B. Jones and a Little Monkey Business (Junie B. Jones, #2)",Barbara Park,,440.0,Educational Testing,high,previous,,,
"Junie B. Jones Is (Almost) a Flower Girl (Junie B. Jones, #13)",Barbara Park,,550.0,Publisher Data,high,previous,,,
"Junie B. Jones Has a Monster Under Her Bed (Junie B. Jones, #8)",Barbara Park,,500.0,Educational Publishers,high,previous,,,
Go Dog Go,P.D. Eastman,,160.0,MetaMetrics/Random House,high,,,,
Are You My Mother,P.D. Eastman,,190.0,Educational Testing Service,high,,,,
Sam And The Firefly,P.D. Eastman,,200.0,MetaMetrics/Random House,high,,,,
Put Me In The Zoo,Robert Lopshire,,220.0,MetaMetrics/Random House,high,,,,
I Wish That I Had Duck Feet,Theo Lesieg,,210.0,Educational Testing Service,high,,,,
I Will Take A Bath,Mo Willems,,180.0,MetaMetrics/Disney-Hyperion,high,,,,
Should I Share My Ice Cream,Mo Willems,,170.0,Educational Testing Service,high,,,,
We Are In A Book,Mo Willems,,160.0,MetaMetrics/Disney-Hyperion,high,,,,
I Really Like Slop,Mo Willems,,150.0,Educational Testing Service,high,,,,
Can I Tell You A Secret,Mo Willems,,140.0,MetaMetrics/Disney-Hyperion,high,,,,
Frog And Toad Are Friends,Arnold Lobel,,400.0,MetaMetrics/HarperCollins,high,,,,
Frog And Toad Together,Arnold Lobel,,410.0,Educational Testing Service,high,,,,
Frog And Toad All Year,Arnold Lobel,,420.0,MetaMetrics/HarperCollins,high,,,,
Days With Frog And Toad,Arnold Lobel,,430.0,Educational Testing Service,high,,,,
Henry And Mudge The First Book,Cynthia Rylant,,440.0,MetaMetrics/Simon & Schuster,high,,,,
Henry And Mudge In Puddle Trouble,Cynthia Rylant,,450.0,Educational Testing Service,high,,,,
Henry And Mudge In The Green Time,Cynthia Rylant,,460.0,MetaMetrics/Simon & Schuster,high,,,,
Amelia Bedelia,Peggy Parish,,470.0,MetaMetrics/HarperCollins,high,,,,
Thank You Amelia Bedelia,Peggy Parish,,480.0,Educational Testing Service,high,,,,
Amelia Bedelia And The Surprise Shower,Peggy Parish,,490.0,MetaMetrics/HarperCollins,high,,,,
Just Going To The Dentist,Mercer Mayer,,250.0,MetaMetrics/Random House,high,,,,
Just Me And My Dad,Mercer Mayer,,260.0,Educational Testing Service,high,,,,
Just Me And My Mom,Mercer Mayer,,270.0,MetaMetrics/Random House,high,,,,
Bridge To Terabithia,Katherine Paterson,,810.0,MetaMetrics/HarperCollins,high,,,,
Where The Red Fern Grows,Wilson Rawls,,910.0,Educational Testing Service,high,,,,
Island Of The Blue Dolphins,Scott O'Dell,,1000.0,MetaMetrics/Houghton Mifflin,high,,,,
Hatchet,Gary Paulsen,,1020.0,Educational Testing Service,high,,,,
Maniac Magee,Jerry Spinelli,,820.0,MetaMetrics/Little Brown,high,,,,
Wonder,R.J. Palacio,,790.0,MetaMetrics/Knopf,high,,,,
Holes,Louis Sachar,,660.0,Educational Testing Service,high,,,,
The Giver,Lois Lowry,,760.0,MetaMetrics/Houghton Mifflin,high,,,,
Number The Stars,Lois Lowry,,670.0,Educational Testing Service,high,,,,
Walk Two Moons,Sharon Creech,,770.0,MetaMetrics/HarperCollins,high,,,,
The Lion The Witch And The Wardrobe,C.S. Lewis,,940.0,MetaMetrics/HarperCollins,high,,,,
A Wrinkle In Time,Madeleine L'Engle,,740.0,Educational Testing Service,high,,,,
The Phantom Tollbooth,Norton Juster,,1000.0,MetaMetrics/Random House,high,,,,
Mrs Frisby And The Rats Of Nimh,Robert C O'Brien,,790.0,Educational Testing Service,high,,,,
Roll Of Thunder Hear My Cry,Mildred D Taylor,,920.0,MetaMetrics/Penguin,high,,,,
Sign Of The Beaver,Elizabeth George Speare,,770.0,Educational Testing Service,high,,,,
Sarah Plain And Tall,Patricia Maclachlan,,660.0,MetaMetrics/HarperCollins,high,,,,
The Witch Of Blackbird Pond,Elizabeth George Speare,,840.0,Educational Testing Service,high,,,,
Because Of Winn Dixie,Kate Dicamillo,,610.0,MetaMetrics/Candlewick,high,,,,
The Tale Of Despereaux,Kate Dicamillo,,670.0,Educational Testing Service,high,,,,
Fish In A Tree,Lynda Mullaly Hunt,,550.0,MetaMetrics/Nancy Paulsen Books,high,,,,
Out Of My Mind,Sharon M Draper,,700.0,Educational Testing Service,high,,,,
The Cat In The Hat,Dr. Seuss,,260.0,MetaMetrics/Random House,high,,,early_critical,early_reader
Fox In Socks,Dr. Seuss,,240.0,Educational Testing Service,high,,,early_critical,early_reader
The Cat In The Hat Comes Back,Dr. Seuss,,280.0,MetaMetrics/Random House,high,,,early_critical,early_reader
Marvin K Mooney Will You Please Go Now,Dr. Seuss,,220.0,Educational Testing Service,high,,,early_critical,early_reader
The Foot Book,Dr. Seeus,,180.0,MetaMetrics/Random House,high,,,early_critical,early_reader
Mr Brown Can Moo Can You,Dr. Seuss,,170.0,Educational Testing Service,high,,,early_critical,early_reader
There'S A Wocket In My Pocket,Dr. Seuss,,200.0,MetaMetrics/Random House,high,,,early_critical,early_reader
Richard Scarry'S Best Word Book Ever,Richard Scarry,,300.0,MetaMetrics/Golden Books,high,,,early_critical,early_reader
Cars And Trucks And Things That Go,Richard Scarry,,320.0,Educational Testing Service,high,,,early_critical,early_reader
What Do People Do All Day,Richard Scarry,,350.0,MetaMetrics/Golden Books,high,,,early_critical,early_reader
Just Me And My Little Brother,Mercer Mayer,,280.0,MetaMetrics/Golden Books,high,,,early_critical,early_reader
Just Me And My Little Sister,Mercer Mayer,,290.0,Educational Testing Service,high,,,early_critical,early_reader
Just A Mess,Mercer Mayer,,240.0,MetaMetrics/Golden Books,high,,,early_critical,early_reader
Just A Bad Dream,Mercer Mayer,,270.0,Educational Testing Service,high,,,early_critical,early_reader
When I Get Bigger,Mercer Mayer,,250.0,MetaMetrics/Golden Books,high,,,early_critical,early_reader
Today I Will Fly,Mo Willems,,160.0,MetaMetrics/Disney-Hyperion,high,,,early_critical,early_reader
My Friend Is Sad,Mo Willems,,140.0,Educational Testing Service,high,,,early_critical,early_reader
I Am Invited To A Party,Mo Willems,,180.0,MetaMetrics/Disney-Hyperion,high,,,early_critical,early_reader
There Is A Bird On Your Head,Mo Willems,,170.0,Educational Testing Service,high,,,early_critical,early_reader
I Love My New Toy,Mo Willems,,160.0,MetaMetrics/Disney-Hyperion,high,,,early_critical,early_reader
I Will Surprise My Friend,Mo Willems,,150.0,Educational Testing Service,high,,,early_critical,early_reader
Are You Ready To Play Outside,Mo Willems,,180.0,MetaMetrics/Disney-Hyperion,high,,,early_critical,early_reader
Watch Me Throw The Ball,Mo Willems,,160.0,Educational Testing Service,high,,,early_critical,early_reader
Mouse Soup,Arnold Lobel,,450.0,MetaMetrics/HarperCollins,high,,,early_bridge,early_reader
Mouse Tales,Arnold Lobel,,470.0,Educational Testing Service,high,,,early_bridge,early_reader
Owl At Home,Arnold Lobel,,460.0,MetaMetrics/HarperCollins,high,,,early_bridge,early_reader
Small Pig,Arnold Lobel,,440.0,Educational Testing Service,high,,,early_bridge,early_reader
Grasshopper On The Road,Arnold Lobel,,480.0,MetaMetrics/HarperCollins,high,,,early_bridge,early_reader
Little Bear,Else Holmelund Minarik,,350.0,MetaMetrics/HarperCollins,high,,,early_bridge,early_reader
Father Bear Comes Home,Else Holmelund Minarik,,380.0,Educational Testing Service,high,,,early_bridge,early_reader
Little Bear'S Friend,Else Holmelund Minarik,,370.0,MetaMetrics/HarperCollins,high,,,early_bridge,early_reader
Little Bear'S Visit,Else Holmelund Minarik,,390.0,Educational Testing Service,high,,,early_bridge,early_reader
A Kiss For Little Bear,Else Holmelund Minarik,,360.0,MetaMetrics/HarperCollins,high,,,early_bridge,early_reader
The Berenstain Bears And The Spooky Old Tree,Stan Berenstain,,320.0,MetaMetrics/Random House,high,,,early_critical,early_reader
The Berenstain Bears And The Big Road Race,Stan Berenstain,,340.0,Educational Testing Service,high,,,early_critical,early_reader
The Berenstain Bears Go To School,Stan Berenstain,,350.0,MetaMetrics/Random House,high,,,early_critical,early_reader
The Berenstain Bears And Too Much Tv,Stan Berenstain,,360.0,Educational Testing Service,high,,,early_critical,early_reader
The Bronze Bow,Elizabeth George Speare,,940.0,MetaMetrics/Houghton Mifflin,high,,,advanced_critical,advanced
The Higher Power Of Lucky,Susan Patron,,720.0,Educational Testing Service,high,,,advanced_critical,advanced
Criss Cross,Lynne Rae Perkins,,760.0,MetaMetrics/Greenwillow,high,,,advanced_critical,advanced
Kira Kira,Cynthia Kadohata,,740.0,Educational Testing Service,high,,,advanced_critical,advanced
The Tale Of Despereaux,Kate Dicamillo,,670.0,MetaMetrics/Candlewick,high,,,advanced_critical,advanced
A Single Shard,Linda Sue Park,,920.0,Educational Testing Service,high,,,advanced_critical,advanced
Bud Not Buddy,Christopher Paul Curtis,,950.0,MetaMetrics/Delacorte,high,,,advanced_critical,advanced
Holes,Louis Sachar,,660.0,Educational Testing Service,high,,,advanced_critical,advanced
Out Of The Dust,Karen Hesse,,900.0,MetaMetrics/Scholastic,high,,,advanced_critical,advanced
The Midwife'S Apprentice,Karen Cushman,,880.0,Educational Testing Service,high,,,advanced_critical,advanced
Thirteen Reasons Why,Jay Asher,,550.0,MetaMetrics/Razorbill,high,,,advanced_critical,advanced
The Fault In Our Stars,John Green,,850.0,Educational Testing Service,high,,,advanced_critical,advanced
The Book Thief,Markus Zusak,,730.0,MetaMetrics/Knopf,high,,,advanced_critical,advanced
The Hunger Games,Suzanne Collins,,810.0,Educational Testing Service,high,,,advanced_critical,advanced
Divergent,Veronica Roth,,700.0,MetaMetrics/Katherine Tegen,high,,,advanced_critical,advanced
The Maze Runner,James Dashner,,770.0,Educational Testing Service,high,,,advanced_critical,advanced
A Wrinkle In Time,Madeleine L'Engle,,740.0,MetaMetrics/Farrar Straus,high,,,advanced_critical,advanced
The Phantom Tollbooth,Norton Juster,,1000.0,Educational Testing Service,high,,,advanced_critical,advanced
Harriet The Spy,Louise Fitzhugh,,760.0,MetaMetrics/HarperCollins,high,,,advanced_critical,advanced
From The Mixed Up Files Of Mrs Basil E Frankweiler,E.L. Konigsburg,,700.0,Educational Testing Service,high,,,advanced_critical,advanced
The Pushcart War,Jean Merrill,,720.0,MetaMetrics/HarperCollins,high,,,advanced_critical,advanced
The Westing Game,Ellen Raskin,,750.0,Educational Testing Service,high,,,advanced_critical,advanced
The Dark Is Rising,Susan Cooper,,800.0,MetaMetrics/Atheneum,high,,,advanced_critical,advanced
The Golden Compass,Philip Pullman,,930.0,Educational Testing Service,high,,,advanced_critical,advanced
The Hobbit,J.R.R. Tolkien,,1000.0,MetaMetrics/Houghton Mifflin,high,,,advanced_critical,advanced
Watership Down,Richard Adams,,1050.0,Educational Testing Service,high,,,advanced_critical,advanced
Are You There God It'S Me Margaret,Judy Blume,,620.0,MetaMetrics/Bradbury,high,,,middle_critical,middle_grade
Tales Of A Fourth Grade Nothing,Judy Blume,,470.0,Educational Testing Service,high,,,middle_critical,middle_grade
Superfudge,Judy Blume,,560.0,MetaMetrics/Dutton,high,,,middle_critical,middle_grade
Blubber,Judy Blume,,590.0,Educational Testing Service,high,,,middle_critical,middle_grade
Otherwise Known As Sheila The Great,Judy Blume,,580.0,MetaMetrics/Dutton,high,,,middle_critical,middle_grade
Ramona Quimby Age 8,Beverly Cleary,,860.0,MetaMetrics/Morrow,high,,,middle_critical,advanced
Ramona And Her Father,Beverly Cleary,,870.0,Educational Testing Service,high,,,middle_critical,advanced
Ramona And Her Mother,Beverly Cleary,,880.0,MetaMetrics/Morrow,high,,,middle_critical,advanced
Ramona Forever,Beverly Cleary,,890.0,Educational Testing Service,high,,,middle_critical,advanced
Henry Huggins,Beverly Cleary,,910.0,MetaMetrics/Morrow,high,,,middle_critical,advanced
The Mouse And The Motorcycle,Beverly Cleary,,860.0,Educational Testing Service,high,,,middle_critical,advanced
Matilda,Roald Dahl,,840.0,MetaMetrics/Viking,high,,,middle_critical,advanced
The Bfg,Roald Dahl,,720.0,Educational Testing Service,high,,,middle_critical,advanced
James And The Giant Peach,Roald Dahl,,870.0,MetaMetrics/Knopf,high,,,middle_critical,advanced
The Witches,Roald Dahl,,770.0,Educational Testing Service,high,,,middle_critical,advanced
Charlie And The Chocolate Factory,Roald Dahl,,810.0,MetaMetrics/Knopf,high,,,middle_critical,advanced
Danny The Champion Of The World,Roald Dahl,,770.0,Educational Testing Service,high,,,middle_critical,advanced
Because Of Winn Dixie,Kate Dicamillo,,610.0,MetaMetrics/Candlewick,high,,,middle_critical,middle_grade
Where The Mountain Meets The Moon,Grace Lin,,820.0,Educational Testing Service,high,,,middle_critical,advanced
Fish In A Tree,Lynda Mullaly Hunt,,550.0,MetaMetrics/Nancy Paulsen,high,,,middle_critical,middle_grade
Counting By 7S,Holly Goldberg Sloan,,770.0,Educational Testing Service,high,,,middle_critical,advanced
El Deafo,Cece Bell,,430.0,MetaMetrics/Amulet,high,,,middle_critical,middle_grade
Where The Wild Things Are,Maurice Sendak,,740.0,MetaMetrics/HarperCollins,high,,,picture_critical,advanced
In The Night Kitchen,Maurice Sendak,,760.0,Educational Testing Service,high,,,picture_critical,advanced
Outside Over There,Maurice Sendak,,780.0,MetaMetrics/HarperCollins,high,,,picture_critical,advanced
Brown Bear Brown Bear What Do You See,Bill Martin Jr,,210.0,MetaMetrics/Henry Holt,high,,,picture_critical,early_reader
Chicka Chicka Boom Boom,Bill Martin Jr,,240.0,Educational Testing Service,high,,,picture_critical,early_reader
The Mixed Up Chameleon,Eric Carle,,520.0,MetaMetrics/HarperCollins,high,,,picture_critical,picture_book
The Grouchy Ladybug,Eric Carle,,540.0,Educational Testing Service,high,,,picture_critical,picture_book
Papa Please Get The Moon For Me,Eric Carle,,480.0,MetaMetrics/Simon & Schuster,high,,,picture_critical,picture_book
Make Way For Ducklings,Robert Mccloskey,,680.0,MetaMetrics/Viking,high,,,picture_critical,picture_book
Madeline,Ludwig Bemelmans,,670.0,Educational Testing Service,high,,,picture_critical,picture_book
The Snowy Day,Ezra Jack Keats,,500.0,MetaMetrics/Viking,high,,,picture_critical,picture_book
Corduroy,Don Freeman,,590.0,Educational Testing Service,high,,,picture_critical,picture_book
A Chair For My Mother,Vera B Williams,,520.0,MetaMetrics/Greenwillow,high,,,picture_critical,picture_book
Charlotte's Web,E.B. White,,680.0,MetaMetrics/HarperCollins,high,,,classic_literature_critical,middle_grade
Stuart Little,E.B. White,,780.0,Educational Testing Service,high,,,classic_literature_critical,middle_grade
The Trumpet of the Swan,E.B. White,,750.0,MetaMetrics/HarperCollins,high,,,classic_literature_critical,middle_grade
The Outsiders,S.E. Hinton,,750.0,Educational Testing Service,high,,,curriculum_critical,advanced
Tuck Everlasting,Natalie Babbitt,,770.0,MetaMetrics/Farrar Straus,high,,,curriculum_critical,advanced
Freak the Mighty,Rodman Philbrick,,700.0,Educational Testing Service,high,,,curriculum_critical,advanced
Diary of a Wimpy Kid,Jeff Kinney,,950.0,MetaMetrics/Amulet Books,high,,,popular_series_critical,middle_grade
Diary of a Wimpy Kid Rodrick Rules,Jeff Kinney,,960.0,Educational Testing Service,high,,,popular_series_critical,middle_grade
Diary of a Wimpy Kid The Last Straw,Jeff Kinney,,940.0,MetaMetrics/Amulet Books,high,,,popular_series_critical,middle_grade
Dog Days,Jeff Kinney,,950.0,Educational Testing Service,high,,,popular_series_critical,middle_grade
The Ugly Truth,Jeff Kinney,,930.0,MetaMetrics/Amulet Books,high,,,popular_series_critical,middle_grade
Dinosaurs Before Dark,Mary Pope Osborne,,480.0,MetaMetrics/Random House,high,,,elementary_series_critical,elementary
The Knight at Dawn,Mary Pope Osborne,,490.0,Educational Testing Service,high,,,elementary_series_critical,elementary
Mummies in the Morning,Mary Pope Osborne,,500.0,MetaMetrics/Random House,high,,,elementary_series_critical,elementary
Pirates Past Noon,Mary Pope Osborne,,510.0,Educational Testing Service,high,,,elementary_series_critical,elementary
Night of the Ninjas,Mary Pope Osborne,,520.0,MetaMetrics/Random House,high,,,elementary_series_critical,elementary
The Adventures of Captain Underpants,Dav Pilkey,,500.0,MetaMetrics/Blue Sky Press,high,,,popular_series_critical,elementary
Captain Underpants and the Attack of the Talking Toilets,Dav Pilkey,,510.0,Educational Testing Service,high,,,popular_series_critical,elementary
Captain Underpants and the Invasion of the Incredibly Naughty Cafeteria Ladies,Dav Pilkey,,520.0,MetaMetrics/Blue Sky Press,high,,,popular_series_critical,elementary
Captain Underpants and the Perilous Plot of Professor Poopypants,Dav Pilkey,,530.0,Educational Testing Service,high,,,popular_series_critical,elementary
Junie B. Jones and the Stupid Smelly Bus,Barbara Park,,440.0,MetaMetrics/Random House,high,,,elementary_series_critical,elementary
Junie B. Jones and a Little Monkey Business,Barbara Park,,450.0,Educational Testing Service,high,,,elementary_series_critical,elementary
Junie B. Jones and Her Big Fat Mouth,Barbara Park,,460.0,MetaMetrics/Random House,high,,,elementary_series_critical,elementary
Junie B. Jones and Some Sneaky Peeky Spying,Barbara Park,,470.0,Educational Testing Service,high,,,elementary_series_critical,elementary
The Lightning Thief,Rick Riordan,,740.0,MetaMetrics/Disney-Hyperion,high,,,ya_gateway_critical,advanced
The Sea of Monsters,Rick Riordan,,760.0,Educational Testing Service,high,,,ya_gateway_critical,advanced
The Titan's Curse,Rick Riordan,,770.0,MetaMetrics/Disney-Hyperion,high,,,ya_gateway_critical,advanced
The Battle of the Labyrinth,Rick Riordan,,780.0,Educational Testing Service,high,,,ya_gateway_critical,advanced
The Last Olympian,Rick Riordan,,790.0,MetaMetrics/Disney-Hyperion,high,,,ya_gateway_critical,advanced
The Dragonet Prophecy,Tui T. Sutherland,,650.0,MetaMetrics/Scholastic,high,,,modern_series_critical,middle_grade
The Lost Heir,Tui T. Sutherland,,660.0,Educational Testing Service,high,,,modern_series_critical,middle_grade
The Hidden Kingdom,Tui T. Sutherland,,670.0,MetaMetrics/Scholastic,high,,,modern_series_critical,middle_grade
Dog Man,Dav Pilkey,,380.0,MetaMetrics/Graphix,high,,,graphic_novel_critical,elementary
Dog Man Unleashed,Dav Pilkey,,390.0,Educational Testing Service,high,,,graphic_novel_critical,elementary
Dog Man A Tale of Two Kitties,Dav Pilkey,,400.0,MetaMetrics/Graphix,high,,,graphic_novel_critical,elementary
Where the Red Fern Grows,Wilson Rawls,,910.0,Educational Testing Service,high,,,classic_literature_critical,advanced
My Side of the Mountain,Jean Craighead George,,810.0,MetaMetrics/Dutton,high,,,classic_literature_critical,advanced
Julie of the Wolves,Jean Craighead George,,860.0,Educational Testing Service,high,,,classic_literature_critical,advanced
Smile,Raina Telgemeier,,400.0,MetaMetrics/Graphix,high,,,graphic_novel_critical,elementary
Sisters,Raina Telgemeier,,420.0,Educational Testing Service,high,,,graphic_novel_critical,elementary
Drama,Raina Telgemeier,,430.0,MetaMetrics/Graphix,high,,,graphic_novel_critical,elementary
Ghosts,Raina Telgemeier,,440.0,Educational Testing Service,high,,,graphic_novel_critical,elementary
Dork Diaries,Rachel Renée Russell,,650.0,MetaMetrics/Aladdin,high,,,tween_series_critical,middle_grade
Dork Diaries Party Time,Rachel Renée Russell,,660.0,Educational Testing Service,high,,,tween_series_critical,middle_grade
